MES,SENADOR,TIPO_DESPESA,CNPJ_CPF,FORNECEDOR,DOCUMENTO,DATA,DETALHAMENTO,VALOR_REEMBOLSADO,COD_DOCUMENTO
5,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",08.426.907/0001-29,INTERNACIONAL INTERCÂMBIO E TURISMO,RVREBS,2022-05-19,"companhia aérea: gol, localizador: rvrebs. passageiros: giulliana lourdes barreto camelo moura (matrícula 348512, comissionado), voo: 1534 - gru/jpa - 19/05/2022;","3595,71",2180836
5,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,VSPZPC,2022-04-20,"companhia aérea: latam, localizador: vspzpc. passageiros: maria eduarda souto de aquino (matrícula 340859, comissionado), voo: 3254 - gru/bsb - 02/05/2022; maria eduarda souto de aquino (matrícula 340859, comissionado), voo: 3551 - jpa/gru - 02/05/2022;","1563,35",2179217
5,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,IDJMDF,2022-05-28,"companhia aérea: latam, localizador: idjmdf. passageiros: daniella velloso borges ribeiro (matrícula 341256, parlamentar), voo: 3743 - jpa/bsb - 30/05/2022;","1450,54",2181038
6,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",40.781.993/0001-09,"G MAIA VIAGENS, TURISMO EIRELI/ CÁSSIA MAIA VIAGENS, TURISMO",JNVVJO,2022-06-02,"companhia aérea: latam, localizador: jnvvjo. passageiros: daniella velloso borges ribeiro (matrícula 341256, parlamentar), voo: 3742 - bsb/jpa - 03/06/2022;","2804,8",2182843
7,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",40.781.993/0001-09,"G MAIA VIAGENS, TURISMO EIRELI/ CÁSSIA MAIA VIAGENS, TURISMO",WNMXVX,2022-07-01,"companhia aérea: gol, localizador: wnmxvx. passageiros: daniella velloso borges ribeiro (matrícula 341256, parlamentar), voo: 1731 - jpa/bsb - 04/07/2022;","1801,02",2184205
7,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",40.781.993/0001-09,"G MAIA VIAGENS, TURISMO EIRELI/ CÁSSIA MAIA VIAGENS, TURISMO",CLHBAC,2022-07-06,"companhia aérea: latam, localizador: clhbac. passageiros: daniella velloso borges ribeiro (matrícula 341256, parlamentar), voo: 3742 - bsb/jpa - 07/07/2022;","1869,95",2184204
8,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",40.781.993/0001-09,"G MAIA VIAGENS, TURISMO EIRELI/ CÁSSIA MAIA VIAGENS, TURISMO",QZWFWJ,2022-08-19,"companhia aérea: gol, localizador: qzwfwj. passageiros: cila regina schulman (matrícula 375035, comissionado), voo: 1570 - gru/jpa - 25/08/2022;","1287,16",2186029
8,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",40.781.993/0001-09,"G MAIA VIAGENS, TURISMO EIRELI/ CÁSSIA MAIA VIAGENS, TURISMO",YVWZMG,2022-08-19,"companhia aérea: latam, localizador: yvwzmg. passageiros: cila regina schulman (matrícula 375035, comissionado), voo: 3349 - jpa/gru - 29/08/2022;","1969,74",2186030
8,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",40.781.993/0001-09,"G MAIA VIAGENS, TURISMO EIRELI/ CÁSSIA MAIA VIAGENS, TURISMO",IJZDXU,2022-08-22,"companhia aérea: gol, localizador: ijzdxu. passageiros: maria eduarda souto de aquino (matrícula 340859, comissionado), voo: 1730 - bsb/jpa - 23/08/2022;","2247,15",2185792
8,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL,ZEOTFM,2022-07-08,"companhia aérea: gol, localizador: zeotfm. passageiros: maria eduarda souto de aquino (matrícula 340859, comissionado), voo: 1731 - jpa/bsb - 01/08/2022;","1034,86",2185447
8,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,ZYKVXI,2022-08-03,"companhia aérea: latam, localizador: zykvxi. passageiros: giulliana lourdes barreto camelo moura (matrícula 348512, comissionado), voo: 3743 - jpa/bsb - 07/08/2022; giulliana lourdes barreto camelo moura (matrícula 348512, comissionado), voo: 3011 - bsb/cgh - 07/08/2022; giulliana lourdes barreto camelo moura (matrícula 348512, comissionado), voo: 3348 - gru/jpa - 12/08/2022;","2907,61",2185444
11,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",40.781.993/0001-09,"G MAIA VIAGENS, TURISMO EIRELI/ CÁSSIA MAIA VIAGENS, TURISMO",KDEUAG,2022-11-04,"companhia aérea: latam, localizador: kdeuag. passageiros: francisco eduardo de macedo neto (matrícula 348354, comissionado), voo: 3637 - jpa/bsb - 07/11/2022; francisco eduardo de macedo neto (matrícula 348354, comissionado), voo: 3634 - bsb/jpa - 10/11/2022;","5788,48",2189568
11,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",40.781.993/0001-09,"G MAIA VIAGENS, TURISMO EIRELI/ CÁSSIA MAIA VIAGENS, TURISMO",WEJJKC,2022-11-07,"companhia aérea: latam, localizador: wejjkc. passageiros: daniella velloso borges ribeiro (matrícula 341256, parlamentar), voo: 3635 - jpa/bsb - 08/11/2022;","3396,93",2189574
11,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",40.781.993/0001-09,"G MAIA VIAGENS, TURISMO EIRELI/ CÁSSIA MAIA VIAGENS, TURISMO",FNLSDJ,2022-11-08,"companhia aérea: latam, localizador: fnlsdj. passageiros: daniella velloso borges ribeiro (matrícula 341256, parlamentar), voo: 3239 - bsb/gru - 09/11/2022;","3039,5",2189576
11,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",40.781.993/0001-09,"G MAIA VIAGENS, TURISMO EIRELI/ CÁSSIA MAIA VIAGENS, TURISMO",HYOUDF,2022-11-19,"companhia aérea: gol, localizador: hyoudf. passageiros: daniella velloso borges ribeiro (matrícula 341256, parlamentar), voo: 1731 - jpa/bsb - 21/11/2022;","2926,43",2190197
11,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",40.781.993/0001-09,"G MAIA VIAGENS, TURISMO EIRELI/ CÁSSIA MAIA VIAGENS, TURISMO",HSSXOU,2022-11-20,"companhia aérea: gol, localizador: hssxou. passageiros: daniella velloso borges ribeiro (matrícula 341256, parlamentar), voo: 1481 - bsb/cgh - 24/11/2022;","2538,44",2190198
11,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",40.781.993/0001-09,"G MAIA VIAGENS, TURISMO EIRELI/ CÁSSIA MAIA VIAGENS, TURISMO",JI8M2G,2022-11-26,"companhia aérea: azul, localizador: ji8m2g. passageiros: daniella velloso borges ribeiro (matrícula 341256, parlamentar), voo: 2810 - vcp/rec - 27/11/2022; daniella velloso borges ribeiro (matrícula 341256, parlamentar), voo: 4483 - fln/vcp - 27/11/2022;","2554,77",2190247
11,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL,DYYBHW,2022-11-03,"companhia aérea: gol, localizador: dyybhw. passageiros: maria eduarda souto de aquino (matrícula 340859, comissionado), voo: 1731 - jpa/bsb - 07/11/2022;","2943,35",2189539
11,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL,EBYJWC,2022-11-17,"companhia aérea: gol, localizador: ebyjwc. passageiros: daniella velloso borges ribeiro (matrícula 341256, parlamentar), voo: 1534 - gru/jpa - 17/11/2022;","1960,16",2190196
12,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",40.781.993/0001-09,"G MAIA VIAGENS, TURISMO EIRELI/ CÁSSIA MAIA VIAGENS, TURISMO",FRIDQP,2022-12-06,"companhia aérea: latam, localizador: fridqp. passageiros: daniella velloso borges ribeiro (matrícula 341256, parlamentar), voo: 3713 - rec/bsb - 07/12/2022;","1485,33",2191657
12,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",40.781.993/0001-09,"G MAIA VIAGENS, TURISMO EIRELI/ CÁSSIA MAIA VIAGENS, TURISMO",3BMGYK,2022-12-12,"companhia aérea: latam, localizador: 3bmgyk. passageiros: daniella velloso borges ribeiro (matrícula 341256, parlamentar), voo: 3635 - jpa/bsb - 13/12/2022;","1026,35",2191660
12,DANIELLA RIBEIRO,"passagens aéreas, aquáticas e terrestres nacionais",40.781.993/0001-09,"G MAIA VIAGENS, TURISMO EIRELI/ CÁSSIA MAIA VIAGENS, TURISMO",ZPZOQS,2022-12-15,"companhia aérea: latam, localizador: zpzoqs. passageiros: daniella velloso borges ribeiro (matrícula 341256, parlamentar), voo: 3636 - bsb/jpa - 16/12/2022;","3049,08",2192171
1,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL LINHAS AÉREAS INTELIGENTES,YKSFBZ,2022-01-17,"companhia aérea: gol, localizador: yksfbz. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 1265 - florianopolis/congonhas - 19/01/2022; dário elias berger (matrícula 295994, parlamentar), voo: 1844 - brasilia/florianopolis - 19/01/2022; dário elias berger (matrícula 295994, parlamentar), voo: 1664 - congonhas/brasilia - 19/01/2022;","2557,71",2173782
1,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,SOHWUO,2022-01-28,"companhia aérea: latam, localizador: sohwuo. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 3988 - brasilia/florianopolis - 09/02/2022;",761,2174345
1,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,TGJGQI,2022-01-31,"companhia aérea: latam, localizador: tgjgqi. passageiros: kelly carolina weimer (matrícula 301982, comissionado), voo: 3727 - florianopolis/brasilia - 26/04/2022; kelly carolina weimer (matrícula 301982, comissionado), voo: 3726 - brasilia/florianopolis - 28/04/2022;","365,9",2174342
1,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,TJQVNO,2022-01-31,"companhia aérea: latam, localizador: tjqvno. passageiros: fabiano josé amaral (matrícula 311940, comissionado), voo: 3401 - florianopolis/congonhas - 25/04/2022; fabiano josé amaral (matrícula 311940, comissionado), voo: 3010 - congonhas/brasilia - 25/04/2022;","730,1",2174344
1,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,MWFEMZ,2022-01-31,"companhia aérea: latam, localizador: mwfemz. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 3981 - florianopolis/brasilia - 07/02/2022;",1861,2173781
2,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",09.296.295/0001-60,AZUL LINHAS AEREAS BRASILEIRAS S.A.,KN2INH,2022-02-03,"companhia aérea: azul, localizador: kn2inh. passageiros: marcos jose medeiros fernandes (matrícula 326735, comissionado), voo: 4395 - brasilia/jaguaruna - 03/03/2022;","511,13",2174350
2,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL LINHAS AÉREAS INTELIGENTES,LOVGEI,2022-02-03,"companhia aérea: gol, localizador: lovgei. passageiros: fabiano josé amaral (matrícula 311940, comissionado), voo: 1758 - brasilia/florianopolis - 28/04/2022;","207,23",2174348
2,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL LINHAS AÉREAS INTELIGENTES,XNWHXP,2022-02-10,"companhia aérea: gol, localizador: xnwhxp. passageiros: fabiano josé amaral (matrícula 311940, comissionado), voo: 1580 - guarulhos/brasilia - 15/02/2022; fabiano josé amaral (matrícula 311940, comissionado), voo: 1215 - navegantes/guarulhos - 15/02/2022;","724,23",2174976
2,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,QAOBJG,2022-02-03,"companhia aérea: latam, localizador: qaobjg. passageiros: marcos jose medeiros fernandes (matrícula 326735, comissionado), voo: 3738 - sao paulo/brasila - 07/03/2022; marcos jose medeiros fernandes (matrícula 326735, comissionado), voo: 3819 - jaguaruan/são paulo - 07/03/2022;","457,89",2174347
2,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,SELLIW,2022-02-10,"companhia aérea: latam, localizador: selliw. passageiros: fabiano josé amaral (matrícula 311940, comissionado), voo: 3111 - brasilia/navegantes - 17/02/2022;","735,23",2174977
2,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,JQCAXR,2022-02-25,"companhia aérea: latam, localizador: jqcaxr. passageiros: fabiano josé amaral (matrícula 311940, comissionado), voo: 3117 - navegantes/brasilia - 08/03/2022;","778,73",2176889
2,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,JRNSKL,2022-02-25,"companhia aérea: latam, localizador: jrnskl. passageiros: fabiano josé amaral (matrícula 311940, comissionado), voo: 3111 - brasilia/navegantes - 10/03/2022;","784,73",2176892
3,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL LINHAS AÉREAS INTELIGENTES,GKHOUT,2022-03-02,"companhia aérea: gol, localizador: gkhout. passageiros: mauro mariani (matrícula 373907, comissionado), voo: 1757 - curitiba/brasilia - 08/03/2022; mauro mariani (matrícula 373907, comissionado), voo: 1756 - brasilia/curitiba - 10/03/2022;","2024,19",2176178
3,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL LINHAS AÉREAS INTELIGENTES,KFRBSK,2022-03-08,"companhia aérea: gol, localizador: kfrbsk. passageiros: marcos jose medeiros fernandes (matrícula 326735, comissionado), voo: 1844 - brasilia/florianopolis - 23/03/2022;","467,23",2176179
3,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL LINHAS AÉREAS INTELIGENTES,KFRBSK,2022-03-21,"companhia aérea: gol, localizador: kfrbsk. passageiros: marcos jose medeiros fernandes (matrícula 326735, comissionado), voo: 1758 - brasilia/florianopolis - 05/05/2022;",282,2176900
3,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL LINHAS AÉREAS INTELIGENTES,IOQLCP,2022-03-30,"companhia aérea: gol, localizador: ioqlcp. passageiros: yuri becker dos santos (matrícula 351808, comissionado), voo: 1758 - brasilia/florianopolis - 21/04/2022;","642,23",2178204
3,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,JYWIPI,2022-03-02,"companhia aérea: latam, localizador: jywipi. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 3875 - brasilia/florianopolis - 10/03/2022;","2736,23",2176182
3,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,UNWZKI,2022-03-03,"companhia aérea: latam, localizador: unwzki. passageiros: juliano duarte campos (matrícula 371753, comissionado), voo: 3981 - florianopolis/brasilia - 09/03/2022; juliano duarte campos (matrícula 371753, comissionado), voo: 3875 - brasilia/florianopolis - 10/03/2022;","3371,71",2176176
3,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,QQWJRM,2022-03-07,"companhia aérea: latam, localizador: qqwjrm. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 4689 - são paulo/brasilia - 08/03/2022; dário elias berger (matrícula 295994, parlamentar), voo: 3557 - florianopolis/são paulo - 08/03/2022;","778,48",2176180
3,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,SUEGIX,2022-03-07,"companhia aérea: latam, localizador: suegix. passageiros: kelly carolina weimer (matrícula 301982, comissionado), voo: 3981 - florianopolis/brasilia - 07/03/2022; kelly carolina weimer (matrícula 301982, comissionado), voo: 3988 - braslia/florianopolis - 10/03/2022;","1056,81",2176183
3,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,SSGBTJ,2022-03-08,"companhia aérea: latam, localizador: ssgbtj. passageiros: marcos jose medeiros fernandes (matrícula 326735, comissionado), voo: 3717 - jaguaruna/são paulo - 28/03/2022; marcos jose medeiros fernandes (matrícula 326735, comissionado), voo: 3785 - rio de janeiro/brasilia - 28/03/2022; marcos jose medeiros fernandes (matrícula 326735, comissionado), voo: 3930 - são paulo/rio de janeiro - 28/03/2022;","547,79",2176177
3,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,YFOJLJ,2022-03-10,"companhia aérea: latam, localizador: yfojlj. passageiros:","1659,71",2176175
3,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,ANSBBI,2022-03-16,"companhia aérea: latam, localizador: ansbbi. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 3875 - brasilia/florianopolis - 23/03/2022;","1434,23",2176896
3,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,FHCCGB,2022-03-16,"companhia aérea: latam, localizador: fhccgb. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 3191 - são paulo/brasilia - 21/03/2022; dário elias berger (matrícula 295994, parlamentar), voo: 3110 - florianopolis/são paulo - 21/03/2022;","1751,58",2176897
3,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,JTIRYS,2022-03-17,"companhia aérea: latam, localizador: jtirys. passageiros: juliano duarte campos (matrícula 371753, comissionado), voo: 3110 - florianopolis/são paulo - 21/03/2022; juliano duarte campos (matrícula 371753, comissionado), voo: 3191 - são paulo/brasilia - 21/03/2022; juliano duarte campos (matrícula 371753, comissionado), voo: 3875 - brasilia/florianopolis - 23/03/2022;","4166,71",2176898
3,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,SSGBTJ,2022-03-21,"companhia aérea: latam, localizador: ssgbtj. passageiros: marcos jose medeiros fernandes (matrícula 326735, comissionado), voo: 3022 - são paulo/brasilia - 09/05/2022; marcos jose medeiros fernandes (matrícula 326735, comissionado), voo: 3117 - jaguaruna/são paulo - 09/05/2022;",299,2176904
4,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL LINHAS AÉREAS INTELIGENTES,RRIHUK,2022-04-04,"companhia aérea: gol, localizador: rrihuk. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 1257 - florianopolis/congonhas - 05/04/2022; dário elias berger (matrícula 295994, parlamentar), voo: 1406 - congonhas/brasilia - 05/04/2022;","2185,48",2178219
4,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL LINHAS AÉREAS INTELIGENTES,GPZWGJ,2022-04-07,"companhia aérea: gol, localizador: gpzwgj. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 1452 - congonhas/brasilia - 11/04/2022; dário elias berger (matrícula 295994, parlamentar), voo: 1259 - florianopolis/congonhas - 11/04/2022;","2185,48",2178218
4,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL LINHAS AÉREAS INTELIGENTES,RMOMYS,2022-04-11,"companhia aérea: gol, localizador: rmomys. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 1449 - brasilia/congonhas - 12/04/2022;","3233,23",2178306
4,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL LINHAS AÉREAS INTELIGENTES,BAPVVU,2022-04-27,"companhia aérea: gol, localizador: bapvvu. passageiros: juliano duarte campos (matrícula 371753, comissionado), voo: 1259 - florianopolis/são paulo - 28/04/2022; dário elias berger (matrícula 295994, parlamentar), voo: 1452 - são paulo/brasilia - 28/04/2022; dário elias berger (matrícula 295994, parlamentar), voo: 1259 - florianopolis/são paulo - 28/04/2022; juliano duarte campos (matrícula 371753, comissionado), voo: 1452 - são paulo/brasilia - 28/04/2022;","4344,96",2179316
4,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,CJPRWK,2022-03-26,"companhia aérea: latam, localizador: cjprwk. passageiros: marcos jose medeiros fernandes (matrícula 326735, comissionado), voo: 3726 - brasilia/florianopolis - 02/04/2022; marcos jose medeiros fernandes (matrícula 326735, comissionado), voo: 3727 - florianopolis/brasilia - 16/04/2022;","1535,42",2179306
4,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,ILJRER,2022-03-30,"companhia aérea: latam, localizador: iljrer. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 3726 - brasilia/florianopolis - 07/04/2022;","1495,23",2179303
4,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,QUDSUJ,2022-04-08,"companhia aérea: latam, localizador: qudsuj. passageiros: yuri becker dos santos (matrícula 351808, comissionado), voo: 3021 - brasilia/são paulo - 11/04/2022; yuri becker dos santos (matrícula 351808, comissionado), voo: 3456 - são paulo/florianopolis - 11/04/2022; yuri becker dos santos (matrícula 351808, comissionado), voo: 3401 - florianopolis/são paulo - 12/04/2022; yuri becker dos santos (matrícula 351808, comissionado), voo: 3010 - são paulo/brasilia - 12/04/2022;","3101,91",2178310
4,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,ZXODTY,2022-04-16,"companhia aérea: latam, localizador: zxodty. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 3138 - são paulo/navegantes - 20/04/2022;","320,96",2179130
4,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,TGJGQI,2022-04-20,"companhia aérea: latam, localizador: tgjgqi. passageiros: kelly carolina weimer (matrícula 301982, comissionado), voo: 3122 - florianopolis/são paulo - 07/11/2022; kelly carolina weimer (matrícula 301982, comissionado), voo: 3722 - são paulo/brasilia - 07/11/2022; kelly carolina weimer (matrícula 301982, comissionado), voo: 3875 - brasilia/florianopolis - 11/11/2022;",",01",2179322
4,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,SIYZJK,2022-04-20,"companhia aérea: latam, localizador: siyzjk. passageiros: samira harger de sousa (matrícula 324404, comissionado), voo: 3005 - brasilia/são paulo - 08/06/2022; samira harger de sousa (matrícula 324404, comissionado), voo: 3140 - são paulo/navegantes - 08/06/2022; samira harger de sousa (matrícula 324404, comissionado), voo: 3139 - navegantes/são paulo - 20/06/2022; samira harger de sousa (matrícula 324404, comissionado), voo: 3008 - são paulo/brasilia - 20/06/2022;","825,55",2179129
4,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,RJZXYS,2022-04-27,"companhia aérea: latam, localizador: rjzxys. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 3007 - brasilia/são paulo - 29/04/2022; juliano duarte campos (matrícula 371753, comissionado), voo: 3080 - são paulo/florianopolis - 29/04/2022; juliano duarte campos (matrícula 371753, comissionado), voo: 3007 - brasilia/são paulo - 29/04/2022; dário elias berger (matrícula 295994, parlamentar), voo: 3080 - são paulo/florianopolis - 29/04/2022;","4468,46",2179300
5,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",09.296.295/0001-60,AZUL LINHAS AEREAS BRASILEIRAS S.A.,LBGJ7L,2022-05-09,"companhia aérea: azul, localizador: lbgj7l. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 4978 - campinas/brasilia - 09/05/2022; dário elias berger (matrícula 295994, parlamentar), voo: 4410 - florianopolis/campinas - 09/05/2022;","1539,48",2180530
5,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",09.296.295/0001-60,AZUL LINHAS AEREAS BRASILEIRAS S.A.,GIY5YW,2022-05-23,"companhia aérea: azul, localizador: giy5yw. passageiros: juliano duarte campos (matrícula 371753, comissionado), voo: 4349 - florianopolis/chapecó - 30/05/2022; juliano duarte campos (matrícula 371753, comissionado), voo: 4348 - chapecó/florianopolis - 07/06/2022;","859,33",2180761
5,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL LINHAS AÉREAS INTELIGENTES,QVVLCD,2022-05-05,"companhia aérea: gol, localizador: qvvlcd. passageiros:","1985,23",2180150
5,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL LINHAS AÉREAS INTELIGENTES,TLVQMQ,2022-05-06,"companhia aérea: gol, localizador: tlvqmq. passageiros:","1728,23",2180151
5,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL LINHAS AÉREAS INTELIGENTES,ZRCUIV,2022-05-11,"companhia aérea: gol, localizador: zrcuiv. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 1257 - florianopolis/são paulo - 23/05/2022;","1299,48",2180154
5,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,LGBVYK,2022-05-01,"companhia aérea: latam, localizador: lgbvyk. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 3299 - florianopolis/são paulo - 03/05/2022;","1682,28",2180152
5,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,DSEOTU,2022-05-03,"companhia aérea: latam, localizador: dseotu. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 3298 - são paulo/florianopolis - 04/05/2022;","2184,92",2180156
6,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,MFIMUD,2022-06-04,"companhia aérea: latam, localizador: mfimud. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 3132 - navegantes/são paulo - 04/06/2022;","1009,83",2181952
7,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",09.296.295/0001-60,AZUL LINHAS AEREAS BRASILEIRAS S.A.,PIZRGJ,2022-07-27,"companhia aérea: azul, localizador: pizrgj. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 4617 - florianopolis/brasilia - 28/07/2022;","2268,98",2184964
7,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",07.575.651/0001-59,GOL LINHAS AÉREAS INTELIGENTES,DRNENT,2022-07-12,"companhia aérea: gol, localizador: drnent. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 1472 - congonhas/brasilia - 12/07/2022; dário elias berger (matrícula 295994, parlamentar), voo: 1965 - florianopolis/congonhas - 12/07/2022;","2611,48",2184166
7,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,QXLGHU,2022-07-13,"companhia aérea: latam, localizador: qxlghu. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 3726 - brasilia/florianopolis - 13/07/2022;","1756,23",2184167
7,DÁRIO BERGER,"passagens aéreas, aquáticas e terrestres nacionais",33.937.681/0001-78,LATAM,JDSPDE,2022-07-27,"companhia aérea: latam, localizador: jdspde. passageiros: dário elias berger (matrícula 295994, parlamentar), voo: 3726 - brasilia/florianopolis - 29/07/2022;","3243,33",2184962
